,ano_campeonato,rodada,estadio,publico,publico_max,time_mandante,gols_mandante,time_visitante,gols_visitante,arbitro,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,impedimentos_mandante,impedimentos_visitante
2198,2016,14,Arena do Grêmio,34013,60540,Grêmio,2,Figueirense FC,1,Jailson Macedo Freitas,,,,,,
2199,2016,16,Arena do Grêmio,37069,60540,Grêmio,1,São Paulo,0,Héber Lopes,,,,,,
2200,2016,18,Arena do Grêmio,16068,60540,Grêmio,0,Santa Cruz,0,Luiz Flávio de Oliveira,,,,,,
2201,2016,20,Arena do Grêmio,46163,60540,Grêmio,3,Corinthians,0,Braulio da Silva Machado,,,,,,
2202,2016,22,Arena do Grêmio,30631,60540,Grêmio,1,Atlético-MG,1,Claudio Francisco Lima e Silva,,,,,,
2203,2016,24,Arena do Grêmio,19514,60540,Grêmio,0,Palmeiras,0,Emerson de Almeida Ferreira,,,,,,
2204,2016,27,Arena do Grêmio,11152,60540,Grêmio,1,Chapecoense,0,Dewson Fernando Freitas da Silva,,,,,,
2205,2016,30,Arena do Grêmio,16123,60540,Grêmio,1,Atlético-PR,0,Péricles Bassols Pegado Cortez,,,,,,
2206,2016,32,Arena do Grêmio,53287,60540,Grêmio,0,Internacional,0,Franscisco Carlos do Nascimento,,,,,,
2207,2016,36,Arena do Grêmio,10765,60540,Grêmio,3,América-MG,0,Wilton Sampaio,,,,,,
2208,2016,3,Estádio Municipal Radialista Mário Helênio,4445,31863,Botafogo,2,Atlético-PR,1,Dewson Fernando Freitas da Silva,,,,,,
2209,2016,7,Estádio General Sílvio Raulino de Oliveira,1203,,Botafogo,1,EC Vitória,1,Ricardo Marques Ribeiro,,,,,,
2210,2016,8,Estádio General Sílvio Raulino de Oliveira,883,20000,Botafogo,3,América-MG,1,Rodrigo Batista Raposo,,,,,,
2211,2016,10,Estádio Municipal Radialista Mário Helênio,2797,31863,Botafogo,0,Figueirense FC,0,Emerson de Almeida Ferreira,,,,,,
