,ano_campeonato,rodada,estadio,publico,publico_max,arbitro,time_mandante,gols_mandante,time_visitante,gols_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,impedimentos_mandante,impedimentos_visitante
602,2019,11,Estádio Aderbal Ramos da Silva,5447,17800,Rodolpho Toski Marques,Avaí FC,0,Goiás EC,0,5,3,16,18,1,0
603,2019,34,Estádio Aderbal Ramos da Silva,2316,17800,Raphael Claus,Avaí FC,0,Chapecoense,1,4,4,11,15,0,0
604,2019,31,Estádio Olímpico Nilton Santos,23092,46931,Leandro Pedro Vuaden,Botafogo,0,Flamengo,1,1,10,16,14,0,0
605,2019,6,Estádio Raimundo Sampaio,18039,18628,Dewson Fernando Freitas da Silva,Cruzeiro,1,Chapecoense,2,8,2,13,11,1,0
606,2019,10,Estádio Governador Magalhães Pinto,18012,57483,Leandro Pedro Vuaden,Cruzeiro,0,Botafogo,0,5,3,13,7,3,0
607,2019,24,Estádio Governador Magalhães Pinto,38133,57483,Jean Pierre Goncalves Lima,Cruzeiro,0,Fluminense,0,2,5,17,18,2,0
608,2019,32,Estádio Governador Magalhães Pinto,43205,57483,Jean Pierre Goncalves Lima,Cruzeiro,0,Atlético-MG,0,4,8,9,12,1,0
609,2019,33,Estádio Governador Magalhães Pinto,21217,57483,Diego Pombo Lopez,Cruzeiro,0,Avaí FC,0,17,2,14,20,0,0
610,2019,1,Arena Fonte Nova,29215,55000,Wilton Sampaio,EC Bahia,3,Corinthians,2,4,4,17,5,1,0
611,2019,33,Arena Fonte Nova,23194,55000,Bruno Arleu de Araújo,EC Bahia,1,Palmeiras,1,2,4,17,16,1,0
612,2019,4,Estádio Jornalista Mário Filho,61023,78838,Jean Pierre Goncalves Lima,Flamengo,2,Chapecoense,1,7,4,14,9,1,0
613,2019,6,Estádio Jornalista Mário Filho,52667,78838,Daniel Nobre Bins,Flamengo,3,Athletico-PR,2,9,2,14,20,2,0
614,2019,32,Estádio Jornalista Mário Filho,65930,78838,Caio Max Augusto Vieira,Flamengo,3,EC Bahia,1,11,2,10,11,3,0
615,2019,34,Estádio Governador Plácido Castelo,29001,60326,Rafael Traci,Ceará SC,1,São Paulo,1,13,5,12,16,0,0
616,2019,2,Estádio Governador Plácido Castelo,20578,60000,Marcelo de Lima Henrique,Fortaleza,2,Athletico-PR,1,2,7,12,19,1,0
617,2019,4,Estádio Governador Plácido Castelo,40877,60326,Wilton Sampaio,Fortaleza,0,São Paulo,1,6,4,12,14,2,0
618,2019,6,Estádio Governador Plácido Castelo,28148,60326,Anderson Daronco,Fortaleza,1,Vasco da Gama,1,2,5,8,12,0,0
619,2019,27,Estádio Governador Plácido Castelo,26801,60326,André Luiz de Freitas Castro,Fortaleza,2,Grêmio,1,1,8,13,17,0,0
620,2019,32,Estádio Governador Plácido Castelo,46093,60326,Flavio Rodrigues de Souza,Fortaleza,1,Ceará SC,0,3,8,13,17,0,0
621,2019,5,Estádio Serra Dourada,16347,50049,Rodolpho Toski Marques,Goiás EC,1,Botafogo,0,9,3,17,14,7,0
622,2019,8,Estádio Serra Dourada,7756,50049,Igor Junior Benevenuto,Goiás EC,3,Chapecoense,1,6,6,14,15,0,0
623,2019,26,Estádio Serra Dourada,17577,50049,Wagner do Nascimento Magalhães,Goiás EC,2,Corinthians,2,5,5,10,16,2,0
624,2019,3,Allianz Parque,31549,43600,Wagner do Nascimento Magalhães,Palmeiras,1,Internacional,0,4,5,15,17,0,0
625,2019,25,Estádio Municipal Paulo Machado de Carvalho,19028,37000,Anderson Daronco,Palmeiras,1,Botafogo,0,7,2,22,13,2,0
626,2019,32,Estádio Municipal Paulo Machado de Carvalho,36290,37730,Vinicius Gonçalves Dias Araujo,Palmeiras,1,Corinthians,1,9,2,12,18,3,0
627,2019,8,Estádio Urbano Caldeira,5794,20120,Dewson Fernando Freitas da Silva,Santos FC,3,Atlético-MG,1,3,9,13,12,0,0
628,2019,24,Estádio Urbano Caldeira,11408,20120,Flavio Rodrigues de Souza,Santos FC,2,Palmeiras,0,2,3,16,13,3,0
629,2019,38,Estádio Urbano Caldeira,13310,20120,Paulo Roberto Alves Júnior,Santos FC,4,Flamengo,0,3,5,12,15,4,0
630,2019,1,Estádio Jornalista Mário Filho,17420,82238,Dewson Fernando Freitas da Silva,Fluminense,0,Goiás EC,1,5,5,13,8,2,0
631,2019,8,Estádio Jornalista Mário Filho,42726,82238,Wagner do Nascimento Magalhães,Fluminense,0,Flamengo,0,5,2,14,14,2,0
632,2019,25,Estádio Jornalista Mário Filho,17637,82238,Héber Lopes,Fluminense,2,EC Bahia,0,4,7,11,15,1,0
633,2019,5,Estádio Cícero Pompeu de Toledo,44640,67428,Daniel Nobre Bins,São Paulo,0,EC Bahia,0,7,5,11,15,2,0
634,2019,25,Estádio Cícero Pompeu de Toledo,37561,67428,Raphael Claus,São Paulo,1,Corinthians,0,2,1,9,10,2,0
635,2019,32,Estádio Cícero Pompeu de Toledo,13795,67428,Wagner do Nascimento Magalhães,São Paulo,0,Athletico-PR,1,0,0,0,0,0,0
636,2019,3,Arena Condá,6433,22600,Vinicius Gonçalves Dias Araujo,Chapecoense,1,Athletico-PR,1,7,3,17,20,0,0
637,2019,7,Arena Condá,10615,22600,Rodolpho Toski Marques,Chapecoense,1,Palmeiras,2,3,5,16,16,1,0
638,2019,25,Arena Condá,4399,22600,Caio Max Augusto Vieira,Chapecoense,1,Cruzeiro,1,9,7,12,13,0,0
639,2019,32,Arena Condá,13335,22600,Marcelo de Lima Henrique,Chapecoense,0,Grêmio,1,5,2,10,13,0,0
640,2019,10,Neo Química Arena,34238,49205,Wagner Reway,Corinthians,1,CSA,0,16,1,4,17,1,0
641,2019,24,Neo Química Arena,22964,49205,André Luiz de Freitas Castro,Corinthians,2,Athletico-PR,2,0,0,0,0,0,0
642,2019,27,Neo Química Arena,31882,49205,Bruno Arleu de Araújo,Corinthians,1,Cruzeiro,2,4,4,15,18,0,0
643,2019,7,Arena da Baixada,12548,42372,Wagner Reway,Athletico-PR,3,Fluminense,0,6,4,15,15,1,0
